"Name","Id","References","Reason"
"iCommandPlaneFire","84","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1;Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:1","DCS owns the weapon fire command used by the input profiles and CMS Lua."
"iCommandPlaneFireOff","85","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1;Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:1","DCS owns the weapon fire release command used by the input profiles and CMS Lua."
"iCommandPlaneRadarOnOff","86","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1","DCS owns the radar sensor toggle dispatched by CMS Lua."
"iCommandPlaneEOSOnOff","87","Cockpit/Scripts/command_defs.lua:1;Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1","DCS owns the electro-optical sensor toggle used by the input profiles."
"iCommandPlaneChangeLock","100","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1","DCS owns target-lock selection dispatched by CMS Lua."
"iCommandPlaneChangeWeapon","101","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1;Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1","DCS owns weapon selection used by the input profiles and CMS Lua."
"iCommandPlaneModeBVR","106","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1;Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1","DCS owns the BVR sensor and weapon mode used by the input profiles and CMS Lua."
"iCommandPlaneModeVS","107","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1","DCS owns the vertical-scan sensor mode dispatched by CMS Lua."
"iCommandPlaneModeBore","108","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1;Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1","DCS owns the bore sensor mode used by the input profiles."
"iCommandPlaneModeHelmet","109","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1;Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1","DCS owns the helmet sensor mode used by the input profiles and CMS Lua."
"iCommandPlaneModeFI0","110","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1;Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1","DCS owns the longitudinal missile-aiming mode used by the input profiles and CMS Lua."
"iCommandPlaneModeCannon","113","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1","DCS owns cannon mode dispatched by CMS Lua."
"iCommandPlaneDropSnarOnce","176","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1;Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1","DCS owns the combined countermeasure release used by the input profiles and CMS Lua."
"iCommandPlaneLaunchPermissionOverride","349","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1;Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1","DCS owns launch-permission override used by the input profiles and CMS Lua."
"iCommandPlanePickleOn","350","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1;Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","DCS owns weapon release used by the input profiles and CMS Lua."
"iCommandPlanePickleOff","351","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1;Input/F-CK-1C/joystick/default.lua:2;Input/F-CK-1C/keyboard/default.lua:2","DCS owns weapon release termination used by the input profiles and CMS Lua."
"iCommandPlaneDropFlareOnce","357","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1;Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1","DCS owns flare release used by the input profiles and CMS Lua."
"iCommandPlaneDropChaffOnce","358","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1;Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1","DCS owns chaff release used by the input profiles and CMS Lua."
"iCommandPlaneLockOnStart","509","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1","DCS owns target-lock press handling dispatched by CMS Lua."
"iCommandPlaneLockOnFinish","510","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1","DCS owns target-lock release handling dispatched by CMS Lua."
"iCommandPlaneDropSnarOnceOff","536","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1;Input/F-CK-1C/joystick/default.lua:1;Input/F-CK-1C/keyboard/default.lua:1","DCS owns combined countermeasure release termination used by the input profiles and CMS Lua."
"iCommandPlane_ShowControls","851","Cockpit/Scripts/command_defs.lua:1","DCS owns the Controls Indicator visibility command."
"iCommandViewPauseOnOff","1609","Cockpit/Scripts/command_defs.lua:1","DCS owns the view and pause lifecycle command."
"iCommandPlaneChangeLockUp","1627","Cockpit/Scripts/command_defs.lua:1;Cockpit/Scripts/Systems/cms_system.lua:1","DCS owns target-lock release selection dispatched by CMS Lua."
"iCommandPlaneFeedbackTrimmer","2035","Cockpit/Scripts/command_defs.lua:1","Force-feedback output is not implemented; tracked by GitHub issue 24."
"iServiceInformAboutUserHAngle","2142","Cockpit/Scripts/command_defs.lua:1","DCS owns the horizontal user-view service value."
"iServiceInformAboutUserVAngle","2143","Cockpit/Scripts/command_defs.lua:1","DCS owns the vertical user-view service value."
