"Order","Kind","Device","Class","Script"
"1","Device","Gear","avLuaDevice","Cockpit/Scripts/Systems/gear_system.lua"
"2","Device","Actuators","avLuaDevice","Cockpit/Scripts/Systems/actuators_system.lua"
"3","Device","CMS","avLuaDevice","Cockpit/Scripts/Systems/cms_system.lua"
"4","Device","WEAPON_SYSTEM","avSimpleWeaponSystem","Cockpit/Scripts/Systems/weapon_system.lua"
"5","Device","RADAR","avSimpleRadar","Cockpit/Scripts/RADAR/FCK1C_Radar.lua"
"6","Device","RADAR_STATE","avLuaDevice","Cockpit/Scripts/Systems/radar_state_system.lua"
"7","Device","HMCS","avLuaDevice","Cockpit/Scripts/Systems/hmcs_system.lua"
"8","Device","AAM_AUDIO","avLuaDevice","Cockpit/Scripts/Systems/aam_audio_system.lua"
"9","Device","AUTOPILOT","avLuaDevice","Cockpit/Scripts/Systems/autopilot_system.lua"
"10","Indicator","","ccControlsIndicatorBase","Cockpit/Scripts/ControlsIndicator/ControlsIndicator.lua"
"11","Indicator","","ccControlsIndicatorBase","Cockpit/Scripts/HMCS/HMCS_init.lua"
"12","Indicator","","ccIndicator","Cockpit/Scripts/HMCS/HMCS_VR_init.lua"
