"Parameter","Access","Layer","Source"
"AIM9_LOCK_RANGE","Write","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"AIM9_MISSILE_COUNT","Write","Lua","Cockpit/Scripts/Systems/cms_system.lua"
"AIM9_MISSILE_COUNT","Read","Lua","Cockpit/Scripts/Systems/hmcs_system.lua"
"AIM9_MISSILE_COUNT","ReadWrite","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"AIM9_MISSILE_COUNT","Write","Lua","Cockpit/Scripts/Systems/weapon_system.lua"
"AIM9_MISSILE_STATUS","Write","Lua","Cockpit/Scripts/Systems/cms_system.lua"
"AIM9_MISSILE_STATUS","Read","Lua","Cockpit/Scripts/Systems/hmcs_system.lua"
"AIM9_MISSILE_STATUS","ReadWrite","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"AIM9_SEEKER_AZIMUTH","Write","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"AIM9_SEEKER_CONTACT","Read","Lua","Cockpit/Scripts/Systems/hmcs_system.lua"
"AIM9_SEEKER_CONTACT","Write","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"AIM9_SEEKER_ELEVATION","Write","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"AIM9_SEEKER_LOCK","Read","Lua","Cockpit/Scripts/Systems/hmcs_system.lua"
"AIM9_SEEKER_LOCK","Write","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"AIM9_SEEKER_STATE","Write","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"AIM9_TARGET_DESIGNATED","Write","Lua","Cockpit/Scripts/Systems/cms_system.lua"
"AIM9_TARGET_DESIGNATED","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"AIM9_TONE_STATE","ReadWrite","Lua","Cockpit/Scripts/Systems/aam_audio_system.lua"
"AIM9_TONE_STATE","Read","Lua","Cockpit/Scripts/Systems/cms_system.lua"
"AIM9_TONE_STATE","Write","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"AIM9_UNCAGE_HELD","Write","Lua","Cockpit/Scripts/Systems/cms_system.lua"
"AIM9_UNCAGE_HELD","Read","Lua","Cockpit/Scripts/Systems/hmcs_system.lua"
"AIM9_UNCAGE_HELD","Read","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"AIM9_WEAPON_ACTIVE","Write","Lua","Cockpit/Scripts/Systems/aam_audio_system.lua"
"AIM9_WEAPON_ACTIVE","Write","Lua","Cockpit/Scripts/Systems/radar_state_system.lua"
"AP_AT_ENGAGED","Read","C++","src/efm/F-CK-1C_EFM/DcsBridge/Internal/CockpitBridge.cpp"
"AP_AT_ENGAGED","Write","Lua","Cockpit/Scripts/Systems/autopilot_system.lua"
"AP_BYPASS_ACTIVE","Read","C++","src/efm/F-CK-1C_EFM/DcsBridge/Internal/CockpitBridge.cpp"
"AP_BYPASS_ACTIVE","Write","Lua","Cockpit/Scripts/Systems/autopilot_system.lua"
"AP_LAT_MODE","Write","Lua","Cockpit/Scripts/Systems/autopilot_system.lua"
"AP_MASTER_ENGAGED","Read","C++","src/efm/F-CK-1C_EFM/DcsBridge/Internal/CockpitBridge.cpp"
"AP_MASTER_ENGAGED","Write","Lua","Cockpit/Scripts/Systems/autopilot_system.lua"
"AP_PITCH_CMD","Read","C++","src/efm/F-CK-1C_EFM/DcsBridge/Internal/CockpitBridge.cpp"
"AP_PITCH_CMD","Write","Lua","Cockpit/Scripts/Systems/autopilot_system.lua"
"AP_ROLL_CMD","Read","C++","src/efm/F-CK-1C_EFM/DcsBridge/Internal/CockpitBridge.cpp"
"AP_ROLL_CMD","Write","Lua","Cockpit/Scripts/Systems/autopilot_system.lua"
"AP_TARGET_ALT_FT","Write","Lua","Cockpit/Scripts/Systems/autopilot_system.lua"
"AP_TARGET_HDG_DEG","Write","Lua","Cockpit/Scripts/Systems/autopilot_system.lua"
